"osmID","name","highway","length","lanes"
4067899,"",motorway,"1024.6540427525904",2
4067952,"",motorway,"1423.286011183101",3
4068014,"",motorway,"296.1433600949449",3
4368584,"",motorway,"158.43910988592995",2
4383235,"",secondary,"9.107197721305683",2
4388117,"",motorway,"85.39732523511255",2
4388868,"",motorway,"593.5196853910571",2
4388869,"",motorway,"488.2426746135651",3
4388928,"",motorway,"72.71947851815469",4
4388935,"",motorway,"154.685736619813",3
4388936,"",motorway,"145.6043705539715",3
4388973,"",motorway,"668.562560824922",3
4388976,"",motorway,"146.1353902121396",3
4389157,"",motorway,"130.07025772508726",3
4389158,"",motorway,"368.8600098913692",3
4389412,"",secondary,"30.31339487015493",3
4389413,"",secondary,"19.450085142263003",1
4389553,"",trunk,"63.75634822563751",2
4396109,"",primary,"87.05908952770893",4
4396302,"",secondary,"530.372119354327",2
4396785,"",motorway,"269.24709162690647",2
4396831,"",motorway,"485.07106210920557",3
4400154,"",primary,"49.96495248849919",3
4401022,"",motorway,"104.76429797502584",4
4401030,"",motorway,"73.01773156236696",3
4401925,"",trunk,"113.60915843311768",3
4401926,"",primary,"8.580239417689889",2
4401967,"",secondary,"49.91899598986994",[object Object]
4402002,"",motorway,"239.04034144543309",2
4402228,"",secondary,"150.10534122110295",1
4402681,"",secondary,"438.2554268101168",1
4402682,"",secondary,"834.9479162025798",1
4402689,"",secondary,"123.18941602502862",1
4402690,"",secondary,"14.854104436563157",1
4410137,"",motorway,"216.12348124898872",3
4410331,"",motorway,"749.9017239825711",2
4410419,"",motorway,"1507.5792925711833",2
4410450,"",secondary,"16.15935073726917",2
4431544,"",secondary,"179.43336479851064",2
4446340,"",motorway,"570.3425270871575",3
4446341,"",motorway,"46.857224629590554",3
4446342,"",motorway,"470.54193684311804",3
4446343,"",motorway,"48.94518748601129",3
4446446,"",motorway,"198.2741974204618",3
4446448,"",motorway,"449.19045815066073",4
4446555,"",secondary,"10.69785042898004",3
4446558,"",secondary,"203.9824553822866",[object Object]
4449224,"",motorway,"593.8444802196072",3
4449226,"",motorway,"91.83199611564505",3
4449227,"",motorway,"146.34437440595292",3
4449238,"",motorway,"39.52348095477116",3
4449241,"",motorway,"39.45200963102297",4
4463798,"",motorway,"154.32460983887614",2
4463804,"",motorway,"129.328550515529",3
4463806,"",motorway,"36.315848432355885",2
4468432,"",primary,"34.28490959100347",2
4469686,"",motorway,"531.332792705204",2
4472037,"",motorway,"542.2327029440935",3
4472039,"",motorway,"574.5039340704577",3
4480601,"",motorway,"28.487492935395746",2
4481946,"",motorway,"58.87343761644231",2
4484030,"",motorway,"94.96479370589353",2
4484032,"",motorway,"108.13952311940827",2
4484035,"",motorway,"67.08967041725127",3
4484037,"",motorway,"226.3570685612434",2
4484053,"",motorway,"15.067276759137009",2
4484348,"",motorway,"88.82791937149675",2
4486611,"",motorway,"44.57762871499031",2
4486612,"",motorway,"35.6985681629297",3
4486613,"",motorway,"200.7017065859102",3
4486614,"",motorway,"36.00375108182857",3
4488866,"",motorway,"28.28300733270047",3
4488867,"",motorway,"274.9665546594231",2
4488868,"",motorway,"197.47641703596076",2
4488869,"",motorway,"159.87391803958164",2
4488872,"",motorway,"687.8471060285236",3
4488874,"",motorway,"212.04955596045735",3
4488979,"",motorway,"191.98258782567856",3
4488980,"",motorway,"54.65297786625426",3
4488981,"",motorway,"217.22507527067216",3
4488982,"",motorway,"62.8400992912744",3
4490205,"",motorway,"122.51973917940808",3
4490221,"",motorway,"39.238361679398885",3
4490223,"",motorway,"19.198959253855627",4
4490260,"",secondary,"10.536604310567126",1
4490381,"",secondary,"17.576541701505185",1
4490382,"",secondary,"18.25047221267114",1
4495210,"",motorway,"127.21625388045116",3
4500170,"",motorway,"497.56563024620766",3
